date,vendor,product_type,product_name,pay_method,value,direction
2025-08-01,met,monthly_income,fringe_benefit,nice,38793,in
2025-08-01,universe,loan,appreciation,card,28857,out
2025-08-01,lipoti_pekseg,eat_out,bakery,card,390,out
2025-08-01,melodin,eat_out,food,nice,2230,out
2025-08-01,rund,eat_out,alcohol,card,1375,out
2025-08-01,rund,eat_out,alcohol,card,2750,out
2025-08-01,rund,eat_out,alcohol,card,2750,out
2025-08-02,apple,fee,icloud,card,399,out
2025-08-02,lidl,groceries,food,card,6507,out
2025-08-03,addicted2caffeine,eat_out,coffee,card,1490,out
2025-08-03,konyvmentok,fun_item,book,card,900,out
2025-08-03,mikrokosmos,eat_out,ice_cream,card,1400,out
2025-08-04,lipoti_pekseg,eat_out,bakery,card,490,out
2025-08-04,spar,groceries,food,card,369,out
2025-08-04,lidl,groceries,food,card,3395,out
2025-08-05,melodin,eat_out,food,nice,2645,out
2025-08-05,lidl,groceries,food,card,2276,out
2025-08-05,aldi,groceries,drink,card,939,out
2025-08-06,manna_abc,groceries,snack,card,998,out
2025-08-06,melodin,eat_out,food,nice,2857,out
2025-08-06,kfc,eat_out,food,nice,3990,out
2025-08-07,melodin,eat_out,food,nice,1989,out
2025-08-07,lipoti_pekseg,eat_out,bakery,card,990,out
2025-08-07,lidl,groceries,food,card,4485,out
2025-08-08,addicted2caffeine,eat_out,coffee,card,1490,out
2025-08-08,bestbyte,body_care,beard_trimmer,card,24999,out
2025-08-08,pirex,fun_item,pen,card,1390,out
2025-08-08,spar,groceries,food,card,11617,out
2025-08-09,manna_abc,groceries,alcohol,card,3200,out
2025-08-09,manna_abc,groceries,snack,card,1244,out
2025-08-09,manna_abc,groceries,alcohol,card,1278,out
2025-08-09,manna_abc,groceries,snack,card,1118,out
2025-08-09,manna_abc,fun_item,minecraft_card,card,500,out
2025-08-10,intersport,clothing,swimwear,card,2000,out
2025-08-10,ket_rombusz,eat_out,coffee,card,1200,out
2025-08-10,ket_rombusz,eat_out,pancake,card,2100,out
2025-08-10,romai_part,eat_out,ice_cream,card,1190,out
2025-08-10,akciopont,groceries,snack,card,1398,out
2025-08-10,otp,fee,transfer,card,1955,out
2025-08-11,melodin,eat_out,food,nice,2592,out
2025-08-12,melodin,eat_out,food,nice,2433,out
2025-08-12,landlord,fee,flat_rent,cash,201624,out
2025-08-12,mav,travel,train_ticket,card,3856,out
2025-08-13,isparta_doner,eat_out,food,card,1799,out
2025-08-13,lipoti_pekseg,eat_out,coffee,card,890,out
2025-08-13,mav,fee,train_ticket,card,1929,in
2025-08-14,otp,fee,transfer,card,333,out
2025-08-15,lidl,groceries,food,card,8240,out
2025-08-15,zoldhangya_sarki_bolt,groceries,food,cash,3610,out
2025-08-15,spar,groceries,food,card,2596,out
2025-08-16,friend,groceries,contribution,cash,15000,in
2025-08-16,keszthelyi_piac,groceries,food,cash,5800,out
2025-08-16,madarlatta_pekseg,eat_out,bakery,card,2540,out
2025-08-18,kormanyablak,fee,issue_document,card,3700,out
2025-08-18,kocsag_sutibolt,eat_out,cake,card,1030,out
2025-08-18,csikos_cba,groceries,drink,card,199,out
2025-08-18,zoldhangya_sarki_bolt,groceries,food,cash,1080,out
